,user_id,role,registration_date,last_active_date,2021,2022,2023,2024
296,492,full,2022-06-27,2023-12-10,0,0,1,0
297,493,full,2021-12-06,2022-09-17,0,0,0,0
298,494,full,2021-12-06,2022-09-06,0,1,0,0
299,495,full,2021-12-06,2021-12-06,1,0,0,0
300,496,full,2021-12-06,2023-10-12,0,4,11,0
301,498,full,2021-12-06,2022-06-17,2,1,0,0
302,500,full,2021-12-06,2023-12-11,1,0,2,0
303,501,full,2021-12-06,2022-04-13,1,1,0,0
304,502,full,2021-12-06,2023-12-27,1,106,188,0
305,503,full,2022-01-17,2022-06-17,0,6,0,0
306,504,full,2021-12-06,2021-12-06,0,0,0,0
307,505,full,2021-12-06,2023-01-13,3,8,1,0
308,506,full,2021-12-06,2022-10-23,1,1,0,0
309,507,full,2022-04-14,2023-10-24,0,2,0,0
310,508,full,2021-12-22,2023-12-12,12,159,32,0
311,509,full,2021-12-06,2023-04-01,2,4,1,0
312,511,full,2021-12-06,2021-12-06,1,0,0,0
313,512,full,2023-11-23,2023-11-28,0,0,1,0
314,513,full,2021-12-06,2023-11-24,1,1,2,0
315,514,full,2021-12-06,2023-09-04,0,0,3,0
316,515,full,2021-12-06,2021-12-21,1,0,0,0
317,516,full,2021-12-06,2023-04-11,1,2,0,0
318,517,full,2021-12-06,2023-11-21,0,0,2,0
319,518,full,2021-12-06,2021-12-06,1,0,0,0
320,519,full,2021-12-06,2023-04-01,0,0,1,0
321,520,full,2021-12-06,2021-12-06,1,0,0,0
322,522,full,2022-05-23,2022-05-25,0,1,0,0
323,524,full,2021-12-06,2023-08-23,11,193,24,0
324,525,full,2021-12-06,2023-04-01,1,1,4,0
325,526,full,2021-12-06,2023-08-26,0,1,0,0
326,527,full,2021-12-14,2024-01-01,0,199,67,1
327,528,full,2021-12-06,2022-03-05,0,1,0,0
328,529,full,2021-12-25,2023-08-16,5,248,153,0
329,530,full,2021-12-06,2021-12-06,1,0,0,0
330,531,full,2021-12-06,2022-04-13,0,1,0,0
331,532,full,2021-12-06,2022-12-15,1,0,0,0
332,533,full,2022-02-09,2022-06-17,0,3,0,0
333,534,full,2021-12-06,2023-03-21,1,0,0,0
334,535,full,2021-12-06,2023-04-01,38,306,35,0
335,536,full,2022-08-23,2023-12-31,0,28,24,0
336,539,full,2021-12-09,2023-11-03,0,71,28,0
337,540,full,2021-12-06,2024-01-12,75,273,104,1
338,541,full,2021-12-06,2023-09-01,0,179,114,0
339,542,full,2022-03-15,2023-12-26,0,1,4,0
340,545,full,2021-12-06,2022-11-16,1,0,0,0
341,547,full,2021-12-06,2021-12-06,1,0,0,0
342,549,full,2021-12-06,2022-04-13,9,1,0,0
343,550,full,2021-12-06,2022-11-07,5,11,0,0
344,551,full,2021-12-06,2023-08-07,1,228,83,0
345,552,full,2021-12-06,2021-12-06,1,0,0,0
346,554,full,2021-12-06,2022-10-27,0,1,0,0
347,557,full,2021-12-06,2023-11-24,1,53,69,0
348,558,full,2021-12-06,2022-11-02,0,1,0,0
349,560,full,2021-12-06,2023-12-28,0,123,39,0
350,561,full,2021-12-06,2021-12-10,2,0,0,0
351,563,full,2021-12-06,2023-08-21,0,1,3,0
352,566,full,2021-12-06,2022-04-13,1,1,0,0
353,571,full,2021-12-06,2023-12-27,18,206,158,0
354,574,full,2022-05-31,2023-04-01,0,1,1,0
