,user_id,role,registration_date,last_activity_date,y2021,y2022,y2023,y2024
321,1041,full,2021-12-06,2023-12-20,2,138,67,0
322,69387,full,2022-09-30,2023-12-07,0,0,2,0
323,218122,full,2023-12-07,2023-12-07,0,0,1,0
324,120732,full,2023-02-17,2023-12-07,0,0,3,0
325,218161,full,2023-12-07,2023-12-20,0,0,5,0
326,218228,full,2023-12-07,2023-12-07,0,0,1,0
327,10528,full,2022-02-04,2023-12-07,0,0,1,0
328,218049,full,2023-12-07,2023-12-07,0,0,0,0
329,142232,full,2023-07-30,2023-12-08,0,0,1,0
330,197675,full,2023-11-09,2023-12-31,0,0,3,0
331,218359,full,2023-12-07,2023-12-07,0,0,1,0
332,131873,full,2023-04-18,2023-12-20,0,0,16,0
333,108270,full,2023-02-05,2024-01-12,0,0,3,1
334,216894,full,2023-12-02,2023-12-08,0,0,1,0
335,76133,full,2022-10-27,2023-12-13,0,1,7,0
336,218464,full,2023-12-08,2023-12-08,0,0,0,0
337,139643,full,2023-07-03,2023-12-08,0,0,2,0
338,31560,full,2022-06-08,2023-12-21,0,0,2,0
339,102632,full,2022-12-22,2023-12-08,0,0,1,0
340,25780,full,2022-05-14,2023-12-09,0,1,23,0
341,218521,full,2023-12-08,2023-12-08,0,0,1,0
342,218548,full,2023-12-09,2023-12-09,0,0,1,0
343,52588,full,2022-08-18,2024-01-04,0,3,24,1
344,9250,full,2022-01-26,2023-12-25,0,2,13,0
345,2209,full,2021-12-07,2023-12-26,51,182,111,0
346,218597,full,2023-12-09,2023-12-09,0,0,1,0
347,9646,full,2022-01-31,2023-12-16,0,2,1,0
348,38147,full,2022-07-22,2023-12-23,0,0,1,0
349,97952,full,2022-12-16,2023-12-14,0,1,32,0
350,97226,full,2022-12-15,2023-12-14,0,1,3,0
351,69599,full,2022-10-01,2024-01-02,0,5,54,1
352,174279,full,2023-09-07,2023-12-12,0,0,7,0
353,218702,full,2023-12-10,2023-12-14,0,0,1,0
354,218737,full,2023-12-10,2023-12-10,0,0,0,0
355,218739,full,2023-12-10,2023-12-10,0,0,0,0
356,105542,full,2023-01-21,2023-12-10,0,0,0,0
357,30085,full,2022-05-26,2023-12-24,0,0,2,0
358,40853,full,2022-07-29,2023-12-30,0,0,18,0
359,78434,full,2022-11-02,2023-12-22,0,0,3,0
360,32151,full,2022-08-15,2023-12-05,0,7,2,0
361,217702,full,2023-12-05,2023-12-05,0,0,1,0
362,138269,full,2023-12-05,2023-12-05,0,0,1,0
363,18023,full,2022-03-18,2023-12-05,0,0,0,0
364,77216,full,2022-11-01,2023-12-19,0,2,2,0
365,217613,full,2023-12-06,2023-12-06,0,0,0,0
366,9508,full,2022-02-14,2023-12-25,0,16,13,0
367,163418,full,2023-09-25,2023-12-15,0,0,8,0
368,217819,full,2023-12-06,2023-12-06,0,0,0,0
369,1491,full,2021-12-06,2023-12-28,0,32,25,0
370,91768,full,2022-11-25,2023-12-08,0,3,5,0
371,183337,full,2023-09-20,2023-12-25,0,0,16,0
372,215205,full,2023-12-06,2023-12-10,0,0,1,0
373,89226,full,2023-08-13,2024-01-12,0,0,36,4
374,138579,full,2023-12-07,2023-12-07,0,0,1,0
375,15376,full,2023-07-05,2023-12-14,0,0,14,0
376,3294,full,2022-01-11,2023-12-28,0,144,60,0
377,159518,full,2023-08-26,2023-12-07,0,0,1,0
378,218159,full,2023-12-07,2023-12-07,0,0,1,0
379,218163,full,2023-12-07,2023-12-07,0,0,0,0
380,218096,full,2023-12-07,2023-12-08,0,0,1,0
381,128251,full,2023-12-07,2023-12-07,0,0,0,0
382,131146,full,2023-12-07,2023-12-25,0,0,2,0
383,215698,full,2023-12-07,2023-12-23,0,0,1,0
384,218365,full,2023-12-07,2023-12-12,0,0,1,0
385,171635,full,2023-09-02,2023-12-25,0,0,3,0
386,32798,full,2022-08-16,2023-12-30,0,5,20,0
387,39327,full,2022-07-26,2023-12-08,0,2,1,0
388,218405,full,2023-12-08,2023-12-08,0,0,0,0
389,218426,full,2023-12-08,2023-12-08,0,0,1,0
390,21468,full,2022-04-06,2023-12-08,0,172,48,0
391,102756,full,2023-09-10,2023-12-29,0,0,2,0
392,45129,full,2022-08-01,2023-12-08,0,2,1,0
393,89235,full,2023-12-08,2023-12-08,0,0,1,0
394,218507,full,2023-12-08,2023-12-08,0,0,1,0
395,210007,full,2023-12-08,2023-12-08,0,0,0,0
396,196141,full,2023-12-08,2023-12-08,0,0,0,0
397,131423,full,2023-04-20,2023-12-26,0,0,22,0
398,66279,full,2023-12-09,2023-12-09,0,0,0,0
399,149531,full,2023-11-25,2023-12-12,0,0,3,0
400,10218,full,2022-02-03,2024-01-12,0,20,42,2
401,194232,full,2023-12-09,2023-12-10,0,0,1,0
402,149612,full,2023-08-14,2023-12-13,0,0,9,0
403,218603,full,2023-12-09,2023-12-16,0,0,1,0
404,189086,full,2023-12-09,2024-01-10,0,0,0,1
405,218652,full,2023-12-10,2023-12-10,0,0,0,0
406,68676,full,2023-12-10,2023-12-23,0,0,1,0
407,95896,full,2022-12-12,2023-12-10,0,1,5,0
408,86481,full,2022-11-20,2023-12-10,0,37,12,0
409,197422,full,2023-11-21,2023-12-12,0,0,3,0
410,22694,full,2022-10-20,2023-12-25,0,0,4,0
411,132450,full,2023-12-10,2023-12-10,0,0,1,0
412,91564,full,2023-01-02,2023-12-23,0,0,109,0
413,218699,full,2023-12-10,2023-12-10,0,0,1,0
414,15003,full,2022-11-15,2023-12-25,0,1,11,0
415,67534,full,2023-10-27,2023-12-15,0,0,3,0
416,6544,full,2022-05-25,2023-12-27,0,0,28,0
417,91209,full,2023-10-31,2023-12-12,0,0,5,0
418,133259,full,2023-04-27,2023-12-30,0,0,35,0
419,105364,full,2023-01-19,2023-12-11,0,0,1,0
420,76724,full,2022-10-30,2023-12-15,0,27,95,0
421,169206,full,2023-08-30,2023-12-26,0,0,6,0
422,97396,full,2022-12-15,2023-12-28,0,0,4,0
423,157293,full,2023-08-25,2023-12-12,0,0,1,0
424,123088,full,2023-03-12,2023-12-18,0,0,7,0
425,217534,full,2023-12-05,2023-12-12,0,0,0,0
426,219096,full,2023-12-12,2023-12-12,0,0,0,0
427,207150,full,2023-11-20,2023-12-25,0,0,2,0
428,13343,full,2022-02-22,2024-01-03,0,0,23,1
429,4179,full,2021-12-21,2023-12-13,1,0,0,0
430,219231,full,2023-12-13,2023-12-13,0,0,1,0
431,219239,full,2023-12-13,2023-12-13,0,0,1,0
432,70861,full,2022-10-08,2023-12-27,0,10,127,0
433,206310,full,2023-11-20,2023-12-13,0,0,0,0
434,191268,full,2023-10-27,2023-12-13,0,0,1,0
435,219310,full,2023-12-13,2023-12-13,0,0,1,0
436,125144,full,2023-03-20,2023-12-13,0,0,1,0
437,51130,full,2022-08-16,2023-12-13,0,0,1,0
438,219369,full,2023-12-13,2023-12-13,0,0,0,0
439,135495,full,2023-05-19,2023-12-26,0,0,56,0
440,4564,full,2021-12-21,2024-01-12,9,48,16,1
441,219393,full,2023-12-13,2023-12-26,0,0,2,0
442,44692,full,2022-07-31,2023-12-13,0,0,1,0
443,167037,full,2023-08-28,2023-12-28,0,0,3,0
444,4957,full,2021-12-21,2023-12-14,0,231,31,0
445,36999,full,2022-07-20,2023-12-14,0,7,17,0
